,64,32,16,8,4,2,1
0,gonzaga,gonzaga,gonzaga,gonzaga,gonzaga,gonzaga,gonzaga
1,georgia-state,memphis,connecticut,duke,murray-state,iowa,
2,boise-state,connecticut,texas-tech,ucla,houston,,
3,memphis,vermont,duke,murray-state,iowa,,
4,connecticut,rutgers,north-carolina,houston,,,
5,new-mexico-state,texas-tech,ucla,colorado-state,,,
6,arkansas,davidson,purdue,iowa,,,
7,vermont,duke,murray-state,colgate,,,
8,alabama,baylor,arizona,,,,
9,rutgers,north-carolina,houston,,,,
10,texas-tech,saint-marys-ca,colorado-state,,,,
11,montana-state,ucla,ohio-state,,,,
12,michigan-state,virginia-tech,kansas,,,,
13,davidson,purdue,iowa,,,,
14,duke,murray-state,colgate,,,,
15,cal-state-fullerton,kentucky,auburn,,,,
16,baylor,arizona,,,,,
17,norfolk-state,seton-hall,,,,,
18,north-carolina,houston,,,,,
19,marquette,illinois,,,,,
20,saint-marys-ca,colorado-state,,,,,
21,indiana,longwood,,,,,
22,ucla,ohio-state,,,,,
23,akron,villanova,,,,,
24,texas,kansas,,,,,
25,virginia-tech,san-diego-state,,,,,
26,purdue,iowa,,,,,
27,yale,south-dakota-state,,,,,
28,murray-state,louisiana-state,,,,,
29,san-francisco,colgate,,,,,
30,kentucky,southern-california,,,,,
31,saint-peters,auburn,,,,,
32,arizona,,,,,,
33,bryant,,,,,,
34,seton-hall,,,,,,
35,texas-christian,,,,,,
36,houston,,,,,,
37,alabama-birmingham,,,,,,
38,illinois,,,,,,
39,chattanooga,,,,,,
40,colorado-state,,,,,,
41,michigan,,,,,,
42,tennessee,,,,,,
43,longwood,,,,,,
44,ohio-state,,,,,,
45,loyola-il,,,,,,
46,villanova,,,,,,
47,delaware,,,,,,
48,kansas,,,,,,
49,texas-southern,,,,,,
50,san-diego-state,,,,,,
51,creighton,,,,,,
52,iowa,,,,,,
53,richmond,,,,,,
54,providence,,,,,,
55,south-dakota-state,,,,,,
56,louisiana-state,,,,,,
57,iowa-state,,,,,,
58,wisconsin,,,,,,
59,colgate,,,,,,
60,southern-california,,,,,,
61,miami-fl,,,,,,
62,auburn,,,,,,
63,jacksonville-state,,,,,,
