Common Name,site name
Auburn,auburn
Kentucky,kentucky
Tennessee,tennessee
LSU,louisiana-state
Texas A&M,texas-am
Alabama,alabama
Florida,florida
South Carolina,south-carolina
Mississippi State,mississippi-state
Vanderbilt,vanderbilt
Missouri,missouri
Ole Miss,mississippi
Georgia,georgia
Illinois,illinois
Indiana,indiana
Iowa,iowa
Maryland,maryland
Michigan,michigan
Michigan State,michigan-state
Minnesota,minnesota
Nebraska,nebraska
Northwestern,northwestern
Ohio State,ohio-state
Penn State,penn-state
Purdue,purdue
Rutgers,rutgers
Wisconsin,wisconsin
Bostin College,boston-college
Clemson,clemson
Duke,duke
Florida State,florida-state
Georgia Tech,georgia-tech
Louisville,louisville
Miami,miami-fl
North Carolina,north-carolina
NC State,north-carolina-state
Pittsburgh,pittsburgh
Syracuse,syracuse
Virginia,virginia
Virginia Tech,virginia-tech
Wake Forest,wake-forest
Baylor,baylor
Iowa State,iowa-state
Kansas,kansas
Kansas State,kansas-state
Oklahoma State,oklahoma-state
TCU,texas-christian
Texas Tech,texas-tech
West Virginia,west-virginia
Texas,texas
Oklahoma,oklahoma
Notre Dame,notre-dame
Arizona,arizona
Arizona State,arizona-state
California,california
UCLA,ucla
Colorado,colorado
Oregon,oregon
Oregon State,oregon-state
USC,southern-california
Stanford,stanford
Utah,utah
Washington,washington
Washington State,washington-state
